,unique_id,unique_date,Review,Sentiment,source,Product,Name,Ratings,likes,length_sentence
0,1293286303316865024,20201109,@christo_grego Please reach out to our Direct Care Team at 1-866-808-9274 Monday &amp; Tuesday 8 AM - 8 PM and Wednesdaâ€¦ https://t.co/Dxbr1N5F6f,0,Twitter,,,,0.0,144
1,1293539123144400896,20201109,@juanmivelasco Podemos imaginar sus frustraciones en torno a esto. Estaremos encantados de ayudarle con esta inquieâ€¦ https://t.co/MAtIBaGcKV,1,Twitter,,,,0.0,140
2,1293545116024569856,20201109,@lotuck Can you provide us with the dimensions of your available space?,1,Twitter,,,,0.0,71
3,1293545678724005888,20201109,@kelleyincola We're disappointed to hear about the experience you've been having and would like to try and help. Plâ€¦ https://t.co/G6d8PPRsQ6,1,Twitter,,,,0.0,140
4,1293593257432285184,20201109,"@whirlpoolcorp @1maidenamerica Hi, there. We are very sorry for the delay. Due to the current climate surrounding Câ€¦ https://t.co/J9dS8r0cCz",0,Twitter,,,,0.0,140
5,1293621358723764224,20201109,"@ktwopines Hello, we do apologize for the inconvenience this may have caused. The Use and Care Guide will advise thâ€¦ https://t.co/VGP9e1qtl2",1,Twitter,,,,0.0,140
6,1293669857754591232,20201109,@utefan_42 We're disappointed to hear about the experience you've been having and would like to try and help. Pleasâ€¦ https://t.co/dyPoZY3M0O,1,Twitter,,,,1.0,140
7,1293945601139367936,20201109,"@dhpks875 We are sorry for the longer than normal hold time. If you have not been taken care of, please private mesâ€¦ https://t.co/RY4AQug9EF",1,Twitter,,,,0.0,140
8,1293945698216542208,20201109,@lowes @clayhughesmusic We're very sorry to hear about the experience you've been having with your Dishwasher. Pleaâ€¦ https://t.co/LmLgFEI8hk,1,Twitter,,,,0.0,140
9,1293946188908113920,20201109,@whirlpoolcorp @mikered79 We take this very seriously and apologize extensively for any inconvenience this has causâ€¦ https://t.co/v6iJ8ShiHB,0,Twitter,,,,1.0,140
10,1293997717467824128,20201109,@looch10k We're disappointed to hear about the experience you've been having and would like to try and help. Pleaseâ€¦ https://t.co/csLTv8DOaf,0,Twitter,,,,0.0,140
11,1294009343172653056,20201109,"@rachseiwert That's great to hear, Rach. We hope your refrigerator keeps you happy for years to come ðŸ’›",1,Twitter,,,,1.0,102
